"ISO-date","Name","PMB-id","Latitude","Longitude","Type","Wikidata"
1888-07-30,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1897-05-25,"18, Cromwell Place",pmb92194,"51,49433","-0,17499","Wohngebäude Residential building"
1897-04-13,"18. arrondissement [Paris]",pmb118047,"48,8925","2,3444","Teil eines besiedelten Ortes Part of a populated place","Q200126"
1897-04-14,"18. arrondissement [Paris]",pmb118047,"48,8925","2,3444","Teil eines besiedelten Ortes Part of a populated place","Q200126"
1897-05-11,"18. arrondissement [Paris]",pmb118047,"48,8925","2,3444","Teil eines besiedelten Ortes Part of a populated place","Q200126"
1928-04-23,"1924 İstanbul",pmb246269,"41,0328781","28,9759827","Restaurant Restaurant"
1897-05-27,"40, Landsdowne Crescent",pmb185417,"51,511619","-0,207836","Wohngebäude Residential building"
1897-05-31,"40, Landsdowne Crescent",pmb185417,"51,511619","-0,207836","Wohngebäude Residential building"
1897-04-13,"5, rue Petrarque",pmb60407,"48,862289","2,282595","Straße Street"
1897-04-13,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-14,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-15,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-16,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-17,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-18,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-19,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-20,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-21,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-22,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-23,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-24,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-25,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-26,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-27,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-28,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-29,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
1897-04-30,"5, rue de Maubeuge",pmb592,"48,876475","2,340852","Wohngebäude Residential building"
